id,queue_type,sequence_id,sqs_message_id,sent_timestamp,received_timestamp,latency_ms,created_at,updated_at
108,standard,24,f8c009a1-c5a2-41fd-ac7a-2b53a1a01c6b,1780594714.6074,1780594716.8642,2256.767988205,2026-06-04 17:38:36,2026-06-04 17:38:36
109,standard,9,c59902a9-5ee3-4799-92db-f221bb17a7fc,1780594711.739,1780594717.2137,5474.7159481049,2026-06-04 17:38:37,2026-06-04 17:38:37
110,standard,7,cac527de-b548-4d7e-8330-ec45d61ec06e,1780594711.329,1780594717.5814,6252.3770332336,2026-06-04 17:38:37,2026-06-04 17:38:37
111,standard,20,bdf8e601-44fb-49de-a77c-f6f16fd5a022,1780594713.8903,1780594717.902,4011.7521286011,2026-06-04 17:38:37,2026-06-04 17:38:37
112,standard,3,29f62eb9-73ba-4679-ac6e-a925f5098170,1780594710.6129,1780594718.2066,7593.682050705,2026-06-04 17:38:38,2026-06-04 17:38:38
113,standard,13,7a837632-c586-4ab3-a5fb-d3aeb8f702e1,1780594712.5315,1780594718.5452,6013.6389732361,2026-06-04 17:38:38,2026-06-04 17:38:38
114,standard,5,4b627ce7-6819-4dd3-8338-d4fadd86a9d9,1780594710.9222,1780594718.8512,7928.9560317993,2026-06-04 17:38:38,2026-06-04 17:38:38
115,standard,22,8a193ed5-0c38-45da-a003-a8ef473d5b1b,1780594714.1802,1780594719.1814,5001.2321472168,2026-06-04 17:38:39,2026-06-04 17:38:39
116,standard,17,d4cc0422-62f5-4296-acba-c8ac73a915ef,1780594713.3774,1780594719.4956,6118.1869506836,2026-06-04 17:38:39,2026-06-04 17:38:39
117,standard,11,3b45679e-8145-43c8-ac07-f5ec89c62c3a,1780594712.1494,1780594719.8007,7651.291847229,2026-06-04 17:38:39,2026-06-04 17:38:39
118,standard,23,3b69a797-1cc8-460e-87a0-1567aa448f35,1780594714.4028,1780594720.0936,5690.8781528473,2026-06-04 17:38:40,2026-06-04 17:38:40
119,standard,26,4fdff8b6-bb84-46a6-94ee-dc5e02c4aaea,1780594715.0168,1780594720.4484,5431.5500259399,2026-06-04 17:38:40,2026-06-04 17:38:40
120,standard,25,e3c86a36-3327-4ad7-9bae-1c3eee25129c,1780594714.8113,1780594720.8587,6047.3911762238,2026-06-04 17:38:40,2026-06-04 17:38:40
121,standard,4,0072855d-a716-4352-982f-02b4a8052b4b,1780594710.7767,1780594721.6745,10897.794008255,2026-06-04 17:38:41,2026-06-04 17:38:41
122,standard,29,35415972-a1b1-4542-b195-ebfb0155974e,1780594715.5753,1780594722.0847,6509.4289779663,2026-06-04 17:38:42,2026-06-04 17:38:42
123,standard,28,3dd4bbec-52bc-4664-96ab-9ab4c19ca972,1780594715.4285,1780594722.4946,7066.0970211029,2026-06-04 17:38:42,2026-06-04 17:38:42
124,standard,19,59b3e061-ef5d-4253-884a-02040610e498,1780594713.685,1780594722.804,9118.9410686493,2026-06-04 17:38:42,2026-06-04 17:38:42
125,standard,10,6de33f33-230e-428e-8cc9-3fcdd8fc21bf,1780594711.9431,1780594723.2116,11268.528223038,2026-06-04 17:38:43,2026-06-04 17:38:43
126,standard,36,d1c23ab5-114f-4d27-a94c-302a7580131a,1780594716.6563,1780594723.6215,6965.1911258698,2026-06-04 17:38:43,2026-06-04 17:38:43
127,standard,31,8d934288-a2d5-49af-be16-6c540c5cba3e,1780594715.8682,1780594724.0302,8161.994934082,2026-06-04 17:38:44,2026-06-04 17:38:44
128,standard,21,62b54cbf-deac-4b2e-96ad-f43a5bc0af1b,1780594714.0348,1780594724.4425,10407.728910446,2026-06-04 17:38:44,2026-06-04 17:38:44
129,standard,33,a1b8ae45-2858-46f9-ab9c-f4a9198136f5,1780594716.1571,1780594724.7662,8609.1909408569,2026-06-04 17:38:44,2026-06-04 17:38:44
130,standard,27,52597526-e07d-44e8-a3e9-f5aad1463a18,1780594715.2213,1780594725.1574,9936.115026474,2026-06-04 17:38:45,2026-06-04 17:38:45
131,standard,38,d99d14bf-08b3-4f69-8347-57d77b161f0c,1780594717.0644,1780594725.4699,8405.5230617523,2026-06-04 17:38:45,2026-06-04 17:38:45
132,standard,14,3ad00d5a-5025-4419-8c98-87dd08daa958,1780594712.7267,1780594725.7701,13043.470144272,2026-06-04 17:38:45,2026-06-04 17:38:45
133,standard,34,9da2b126-9280-4376-ae53-8e51a19030c0,1780594716.3018,1780594726.0782,9776.3659954071,2026-06-04 17:38:46,2026-06-04 17:38:46
134,standard,15,f1ee4a3b-1bd2-4531-8106-a298ac9283f6,1780594712.9684,1780594726.3817,13413.241863251,2026-06-04 17:38:46,2026-06-04 17:38:46
135,standard,32,ff19ba78-0db7-4006-8b24-b60cfa390b60,1780594716.0131,1780594726.6964,10683.372020721,2026-06-04 17:38:46,2026-06-04 17:38:46
